"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"215","PAN-127098",10235209,1,3,"Determined","Development Application","Local Planning Panel","Woollahra Municipal Council","Dwelling-Demolition","85-89 HOPETOUN AVENUE VAUCLUSE 2030","151.280882176","-33.854122553","85","HOPETOUN","AVENUE","VAUCLUSE","2030","New South Wales","89",NA,NA,"N","N",NA,NA,"2021-08-05","2022-05-05","2021-09-01T00:00:00","2021-08-17T00:00:00","N",NA,NA
"216","PAN-169867",6170052,1,NA,"Determined","Development Application","Council","Campbelltown City Council","Dwelling-Secondary dwelling","3 WOOTTEN AVENUE BARDIA 2565","150.852129232","-33.98204623","3","WOOTTEN","AVENUE","BARDIA","2565","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-11-22","2022-03-30","2022-01-21T00:00:00","2021-11-29T00:00:00","N",NA,NA
"217","PAN-167591",12703010,29,6,"Determined","Development Application","Land and Environment Court","Canterbury-Bankstown Council","Demolition-Residential flat building-Shop top housing-Mixed use development","670-670A CANTERBURY ROAD BELMORE 2192","151.092811107","-33.923556237","672","CANTERBURY","ROAD","BELMORE","2192","New South Wales","676",NA,NA,"N","Y","N",NA,"2021-11-30","2022-10-04","2022-01-27T00:00:00","2021-12-15T00:00:00","N",NA,NA
"218","PAN-111187",51774288.03,197,NA,"Deferred Commencement","Development Application","Sydney / Regional Planning Panel","The Hills Shire Council","Dwelling-Semi-attached dwelling-Subdivision of land","35 TERRY ROAD BOX HILL 2765","150.899887987","-33.652449869","35","TERRY","ROAD","BOX HILL","2765","New South Wales",NA,NA,3,"N","N","Y",198,"2021-07-22","2022-03-17","2021-09-03T00:00:00","2021-08-05T00:00:00","Y",NA,NA
"219","PAN-174791",9000000,2,2,"Determined","Development Application","Council","Liverpool City Council","Dwelling-Demolition","2 DORAN AVENUE LURNEA 2170","150.899816845","-33.93101014","2","DORAN","AVENUE","LURNEA","2170","New South Wales",NA,NA,1,"N",NA,"Y",2,"2021-12-14","2022-12-06",NA,NA,"N",NA,NA
"220","PAN-166453",87500000,1,1,"Determined","Development Application","Council","Wingecarribee Shire Council","Alterations and additions to residential development-Garages, carports and car parking spaces","21-23 MOUNT ROAD BOWRAL 2576","150.413600471","-34.475426249","21","MOUNT","ROAD","BOWRAL","2576","New South Wales","23",NA,NA,"N","N","N",NA,"2021-11-15","2022-11-14","2021-12-27T00:00:00","2021-12-06T00:00:00","N",NA,NA
"221","PAN-107379",7318524,26,2,"Determined","Development Application","Council","Liverpool City Council","Dwelling-Subdivision of land","146 NEWBRIDGE ROAD MOOREBANK 2170","150.965503451","-33.932923259","146","NEWBRIDGE","ROAD","MOOREBANK","2170","New South Wales",NA,NA,2,"N","N","Y",26,"2021-06-18","2022-02-09","2022-08-19T00:00:00","2022-07-27T00:00:00","N",NA,NA
"222","PAN-176016",5000000,0,NA,"Determined","Development Application","Council","Byron Shire Council","Dwelling-Demolition","256 MIDGEN FLAT ROAD NEWRYBAR 2479","153.569079679","-28.709459523","256","MIDGEN FLAT","ROAD","NEWRYBAR","2479","New South Wales",NA,NA,NA,"N","N",NA,NA,"2022-02-03","2022-09-14",NA,NA,"N",NA,NA
"223","PAN-174833",10210000,19,3,"Determined","Development Application","Council","Port Macquarie-Hastings Council","Residential flat building","60 THE ANCHORAGE PORT MACQUARIE 2444","152.891174238","-31.417745115","60","THE ANCHORAGE",NA,"PORT MACQUARIE","2444","New South Wales",NA,NA,2,"N","Y","Y",19,"2021-12-16","2022-11-16",NA,NA,"N","Y",NA
"224","PAN-160500",5337200,8,NA,"Determined","Development Application","Unknown","Ku-ring-gai Council","Demolition-Multi-dwelling housing","2 WOODVILLE AVENUE WAHROONGA 2076","151.118174567","-33.721821912","2","WOODVILLE","AVENUE","WAHROONGA","2076","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2021-11-08","2022-11-09","2021-12-24T00:00:00","2021-11-24T00:00:00","N",NA,NA
"225","PAN-111308",7705683,44,NA,"Determined","Development Application","Unknown","Georges River Council","Boarding house-Mixed use development","55 PARK ROAD CARLTON 2218","151.121827783","-33.978245787","55","PARK","ROAD","CARLTON","2218","New South Wales",NA,NA,NA,NA,"N",NA,NA,"2021-08-03","2022-08-03","2021-09-15T00:00:00","2021-08-18T00:00:00","N",NA,NA
"226","PAN-147095",16965151,45,NA,"Determined","Development Application","Local Planning Panel","Georges River Council","Residential flat building","426 PRINCES HIGHWAY BLAKEHURST 2221","151.117242959","-33.996367546","426","PRINCES","HIGHWAY","BLAKEHURST","2221","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-09-28","2022-08-04","2021-11-04T00:00:00","2021-10-21T00:00:00","N",NA,NA
"227","PAN-171304",29497493,15,NA,"Withdrawn","Development Application","Unknown","Willoughby City Council","Alterations and additions to commercial development-Shop top housing","282 VICTORIA AVENUE CHATSWOOD 2067","151.186798989","-33.795496062","282","VICTORIA","AVENUE","CHATSWOOD","2067","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","PAN-178386",6155591,12,2,"Determined","Development Application","Council","Penrith City Council","Dwelling-Subdivision of land","16 CHAPMAN STREET WERRINGTON 2747","150.752532145011","-33.7606304284517","16","CHAPMAN","STREET","WERRINGTON","2747","New South Wales",NA,NA,4,"N","N","Y",12,"2021-12-21","2022-09-23","2022-01-31T00:00:00","2021-12-29T00:00:00","N",NA,NA
"229","PAN-180713",12562620,10,NA,"Determined","Development Application","Council","Wingecarribee Shire Council","Residential flat building","2 HOLMHALE STREET BOWRAL 2576","150.418323925","-34.48349199","2","HOLMHALE","STREET","BOWRAL","2576","New South Wales",NA,NA,1,"N","N","Y",10,"2021-12-24","2022-11-02",NA,NA,"N",NA,NA
"230","PAN-161694",5053845,16,4,"Determined","Development Application","Local Planning Panel","Liverpool City Council","Demolition-Residential flat building","2 WILGA CLOSE CASULA 2170","150.903474753","-33.946064366","2","WILGA","CLOSE","CASULA","2170","New South Wales",NA,NA,2,"N","Y","N",NA,"2021-11-11","2022-10-31","2022-02-01T00:00:00","2022-01-18T00:00:00","N","Y",NA
"231","PAN-133545",5375233,29,NA,"Determined","Development Application","Council","Goulburn Mulwaree Council","Dwelling-Semi-attached dwelling-Multi-dwelling housing-Subdivision of land","30A SLOANE STREET GOULBURN 2580","149.708376834","-34.768517652","30A","SLOANE","STREET","GOULBURN","2580","New South Wales",NA,NA,NA,"N","N",NA,NA,"2021-08-19","2021-12-21","2021-10-12T00:00:00","2021-09-21T00:00:00","N",NA,NA
"232","PAN-161713",56460000,178,NA,"Determined","Development Application","Unknown","Ku-ring-gai Council","Residential flat building","161 FOX VALLEY ROAD WAHROONGA 2076","151.101783257","-33.731520375","161","FOX VALLEY","ROAD","WAHROONGA","2076","New South Wales",NA,NA,NA,NA,NA,"Y",2,"2021-11-22","2022-09-15","2022-01-07T00:00:00","2021-12-07T00:00:00","N",NA,NA
"233","PAN-181804",5203954,1,2,"Withdrawn","Development Application","Unknown","Ku-ring-gai Council","Alterations and additions to residential development","38 BURNS ROAD WAHROONGA 2076","151.121914737","-33.713200974","38","BURNS","ROAD","WAHROONGA","2076","New South Wales",NA,NA,1,"N","N","N",NA,"2022-01-28",NA,"2022-03-21T00:00:00","2022-02-18T00:00:00","N",NA,NA
"234","PAN-133562",8500000,18,7,"Withdrawn","Development Application","Unknown","Port Macquarie-Hastings Council","Residential flat building","68 CHURCH STREET PORT MACQUARIE 2444","152.911827426","-31.432352797","68","CHURCH","STREET","PORT MACQUARIE","2444","New South Wales",NA,NA,NA,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"235","PAN-172538",5693161.29,23,NA,"Under Assessment","Development Application","Unknown","Blacktown City Council","Dwelling-Demolition-Multi-dwelling housing-Subdivision of land","138 BRIDGE STREET SCHOFIELDS 2762","150.869683837","-33.701214887","138","BRIDGE","STREET","SCHOFIELDS","2762","New South Wales",NA,NA,2,"N","N","Y",23,"2021-12-16",NA,NA,NA,NA,NA,NA
"236","PAN-172538",5693161.29,23,NA,"Under Assessment","Development Application","Unknown","Blacktown City Council","Dwelling-Demolition-Multi-dwelling housing-Subdivision of land","138 BRIDGE STREET SCHOFIELDS 2762","150.869683837","-33.701214887","138","BRIDGE","STREET","SCHOFIELDS","2762","New South Wales",NA,NA,2,"N","N","Y",23,"2021-12-16",NA,NA,NA,NA,NA,NA
"237","PAN-139904",34362842,75,3,"Determined","Development Application","Sydney / Regional Planning Panel","Lake Macquarie City Council","Demolition-Residential flat building-Other","2A MAUDE STREET BELMONT 2280","151.664395177","-33.034568318","2A","MAUDE","STREET","BELMONT","2280","New South Wales",NA,NA,1,"N","Y","N",NA,"2021-09-21","2022-06-01","2021-10-29T00:00:00","2021-09-24T00:00:00","N","Y",NA
"238","PAN-148398",8414138,31,NA,"Determined","Development Application","Council","Albury City Council","Multi-dwelling housing","100 Table Top Road, Thurgoona","146.996382208","-36.056207805","100","TABLE TOP","ROAD","THURGOONA","2640","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-11-04","2023-01-25","2021-11-17T00:00:00","2021-11-06T00:00:00","N",NA,NA
"239","PAN-172584",6147000,8,NA,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Shop top housing","1 43 ILUKA ROAD PALM BEACH 2108","151.31890327","-33.599391093","43","ILUKA","ROAD","PALM BEACH","2108","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-12-15","2022-07-20","2022-02-08T00:00:00","2021-12-24T00:00:00","N",NA,NA
"240","PAN-150908",18302412,232,25,"Withdrawn","Development Application","Unknown","Blacktown City Council","Shop top housing-Mixed use development","7 FIRST AVENUE BLACKTOWN 2148","150.911625277","-33.767887272","7","FIRST","AVENUE","BLACKTOWN","2148","New South Wales",NA,NA,1,"N","Y","N",NA,"2021-11-10",NA,NA,NA,NA,NA,NA
"241","PAN-133709",10177981,21,2,"Withdrawn","Development Application","Unknown","Northern Beaches Council","Dwelling-Subdivision of land-Stratum / community title subdivision-Earthworks / change in levels","53A WARRIEWOOD ROAD WARRIEWOOD 2102","151.296951464","-33.686438699","53A","WARRIEWOOD","ROAD","WARRIEWOOD","2102","New South Wales",NA,NA,1,"N","N","Y",23,"2021-08-25",NA,"2021-10-06T00:00:00","2021-09-06T00:00:00","N",NA,NA
"242","PAN-133709",10177981,21,2,"Withdrawn","Development Application","Unknown","Northern Beaches Council","Dwelling-Subdivision of land-Stratum / community title subdivision-Earthworks / change in levels","53A WARRIEWOOD ROAD WARRIEWOOD 2102","151.296951464","-33.686438699","53A","WARRIEWOOD","ROAD","WARRIEWOOD","2102","New South Wales",NA,NA,1,"N","N","Y",23,"2021-08-25",NA,"2021-10-06T00:00:00","2021-09-06T00:00:00","N",NA,NA
"243","PAN-107672",7860297,21,6,"Rejected","Development Application","Unknown","Cumberland Council","Residential flat building-School based child care","2A JOYNER STREET WESTMEAD 2145","150.99227212","-33.818372232","2A","JOYNER","STREET","WESTMEAD","2145","New South Wales",NA,NA,2,"N","N","N",NA,"2021-07-20",NA,NA,NA,NA,NA,NA
"244","PAN-166671",7114450,22,NA,"Determined","Development Application","Council","Mid-Western Regional Council","Dual occupancy-Subdivision of land","21 ROBERTSON STREET MUDGEE 2850","149.594454311","-32.607719788","21","ROBERTSON","STREET","MUDGEE","2850","New South Wales",NA,NA,2,NA,"N","Y",22,"2021-11-25","2022-08-17","2022-03-18T00:00:00","2022-03-04T00:00:00","N",NA,NA
"245","PAN-164316",42535027,137,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Liverpool City Council","Residential flat building-Subdivision of land","CROATIA AVENUE EDMONDSON PARK 2174","150.859793434","-33.967835663","null","CROATIA","AVENUE","EDMONDSON PARK","2174","New South Wales","null","null",NA,NA,"Y","Y",3,"2021-11-11","2022-09-12","2022-03-24T00:00:00","2022-02-23T00:00:00","N","Y",NA
"246","PAN-164316",42535027,137,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Liverpool City Council","Residential flat building-Subdivision of land","CROATIA AVENUE EDMONDSON PARK 2174","150.859793434","-33.967835663","null","CROATIA","AVENUE","EDMONDSON PARK","2174","New South Wales","null","null",NA,NA,"Y","Y",3,"2021-11-11","2022-09-12","2022-03-24T00:00:00","2022-02-23T00:00:00","N","Y",NA
"247","PAN-148547",5212397.9,0,NA,"Withdrawn","Development Application","Unknown","Campbelltown City Council","Subdivision of land-Earthworks / change in levels-Retaining walls, protection of trees","192 NARELLAN ROAD CAMPBELLTOWN 2560","150.792219134669","-34.0621702555215","192","NARELLAN","ROAD","CAMPBELLTOWN","2560","New South Wales",NA,NA,1,"N","N","Y",55,"2021-09-30",NA,NA,NA,NA,NA,NA
"248","PAN-176291",6790909,11,6,"Deferred Commencement","Development Application","Local Planning Panel","North Sydney Council","Residential flat building","2 SUTHERLAND STREET CREMORNE 2090","151.2178538","-33.826460315","2","SUTHERLAND","STREET","CREMORNE","2090","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-12-13","2022-08-02","2022-01-28T00:00:00","2022-01-14T00:00:00","N","Y",NA
"249","PAN-149789",6541262,22,NA,"Withdrawn","Development Application","Unknown","Liverpool City Council","Dwelling-Secondary dwelling-Semi-attached dwelling-Subdivision of land","40 OLD GLENFIELD ROAD CASULA 2170","150.889975982","-33.959913516","40","OLD GLENFIELD","ROAD","CASULA","2170","New South Wales",NA,NA,NA,"N","N","Y",20,NA,NA,NA,NA,NA,NA,NA
"250","PAN-123726",30111231,79,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Burwood Council","Residential flat building","3 LYONS STREET STRATHFIELD 2135","151.096398965","-33.87383918","3","LYONS","STREET","STRATHFIELD","2135","New South Wales",NA,NA,NA,"Y","Y","N",NA,"2021-08-10","2022-06-28","2021-09-15T00:00:00","2021-08-18T00:00:00","N",NA,NA
"251","PAN-151020",48537600,81,2,"Withdrawn","Development Application","Unknown","Wollongong City Council","Demolition-Multi-dwelling housing-Earthworks / change in levels","17A MURRANAR ROAD TOWRADGI 2518","150.908885482","-34.386820117","17A","MURRANAR","ROAD","TOWRADGI","2518","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-11-22",NA,"2022-02-07T00:00:00","2021-12-15T00:00:00","N",NA,NA
"252","PAN-161932",6500000,4,NA,"Determined","Development Application","Land and Environment Court","Blacktown City Council","Mixed use development-Centre based childcare-Recreational Uses-Garages, carports and car parking spaces-Restaurant or cafe","5 ALDGATE STREET PROSPECT 2148","150.92521729","-33.799316377","5","ALDGATE","STREET","PROSPECT","2148","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-11-19","2022-10-11","2021-12-14T00:00:00","2021-11-30T00:00:00","N",NA,NA
"253","PAN-117569",22016500,63,NA,"Determined","Development Application","Local Planning Panel","Wollongong City Council","Demolition-Shop top housing-Mixed use development-Garages, carports and car parking spaces","2 BELMORE STREET WOLLONGONG 2500","150.889878168","-34.42116816","2","BELMORE","STREET","WOLLONGONG","2500","New South Wales",NA,NA,4,"N","Y","N",NA,"2021-08-12","2022-05-20","2022-09-06T00:00:00","2021-08-20T00:00:00","N","Y",NA
"254","PAN-176328",50541829,218,10,"Determined","Development Application","Sydney / Regional Planning Panel","Georges River Council","Demolition-Residential flat building","36 GLADSTONE STREET KOGARAH 2217","151.136866322","-33.963117487","36","GLADSTONE","STREET","KOGARAH","2217","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-01-29","2022-12-15","2022-03-10T00:00:00","2022-02-24T00:00:00","N",NA,NA
"255","PAN-149824",6541262,22,NA,"Rejected","Development Application","Unknown","Liverpool City Council","Dwelling-Secondary dwelling-Semi-attached dwelling-Subdivision of land","40 OLD GLENFIELD ROAD CASULA 2170","150.889975982","-33.959913516","40","OLD GLENFIELD","ROAD","CASULA","2170","New South Wales",NA,NA,NA,"N","N","Y",20,"2021-10-13",NA,NA,NA,NA,NA,NA
"256","PAN-133919",5943951,68,9,"Determined","Development Application","Local Planning Panel","Inner West Council","Boarding house-Restaurant or cafe-Business premises","301 LIVERPOOL ROAD ASHFIELD 2131","151.123642854","-33.887757485","301","LIVERPOOL","ROAD","ASHFIELD","2131","New South Wales",NA,NA,3,"N","Y","Y",4,"2021-08-26","2022-04-12","2021-09-28T00:00:00","2021-09-07T00:00:00","N",NA,NA
"257","PAN-125832",9984927,30,3,"Determined","Development Application","Sydney / Regional Planning Panel","Georges River Council","Demolition-Residential flat building","43 GOVER STREET PEAKHURST 2210","151.057893258","-33.960008996","43","GOVER","STREET","PEAKHURST","2210","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-08-17","2022-05-24","2021-09-16T00:00:00","2021-09-02T00:00:00","N","N",NA
"258","PAN-123796",9985044,77,10,"Determined","Development Application","Local Planning Panel","Inner West Council","Demolition-Boarding house-Mixed use development-Business premises","287 Liverpool Road, Ashfield, NSW","151.124153338","-33.887911236",NA,NA,NA,NA,NA,NA,NA,NA,3,"N","N","N",1,"2021-07-23","2022-04-12","2021-08-26T00:00:00","2021-08-05T00:00:00","N",NA,NA
"259","PAN-166783",14695651,3,2,"Withdrawn","Development Application","Unknown","The Council of the Shire of Hornsby","Multi-dwelling housing-Stratum / community title subdivision","17 PENRHYN AVENUE BEECROFT 2119","151.049678375991","-33.7525508349087","17","PENRHYN","AVENUE","BEECROFT","2119","New South Wales",NA,NA,6,"N","N","Y",33,NA,NA,NA,NA,NA,NA,NA
"260","PAN-109866",30371396,40,19,"Withdrawn","Development Application","Unknown","Blacktown City Council","Demolition-Shop top housing-Mixed use development-Earthworks / change in levels-Hotel or motel accommodation-Retail premises ","16 THIRD AVENUE BLACKTOWN 2148","150.911188397","-33.766014116","16","THIRD","AVENUE","BLACKTOWN","2148","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2021-07-12",NA,"2021-09-15T00:00:00","2021-09-01T00:00:00","N",NA,NA
"261","PAN-164401",1030900000,4,NA,"Withdrawn","Development Application","Unknown","Canterbury-Bankstown Council","Secondary dwelling-Dual occupancy-Pools / decks / fencing-Demolition","8 Bushland Drive, Padstow Heights, 2211","151.029396992","-33.970260135","8","BUSHLAND","DRIVE","PADSTOW HEIGHTS","2211","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2021-11-12",NA,"2021-11-30T00:00:00","2021-11-16T00:00:00","N",NA,NA
